,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
204,,r79,,,,,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r32,,,,,,
206,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
207,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
208,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
209,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
210,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
211,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
212,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
213,,,,r69,,,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,r69,,,,,,
214,,,s95,,s99,r33,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
215,,,,,,s246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s247,,,,,,
217,,,,s173,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,r46,,r46,,,,,,,,,,,,r46,s175,,,,,,,,,,,,,,,,,,,,
219,,,,r48,,r48,,,,,,,,,,,,r48,r48,s132,s133,,,,,,,,,,,,,,,,,,
220,,,,r50,,r50,,,,,,,,,,,,r50,r50,r50,r50,s135,s136,s137,s138,,,,,,,,,,,,,,
221,,,,r54,,r54,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,s140,s141,,,,,,,,,,,,
222,,,,r60,,r60,,,,,,,,,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,s143,s144,s145,,,,,,,,,
223,,,,r64,,r64,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,
224,,,,,,s249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,r78,,r78,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,,,,,,,,,
226,,,,r79,,r79,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,,
227,,r17,r17,,,,,r17,,r17,r17,r17,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,r46,,,,,,,,,,,,r46,s186,,,,,,,,,,,,,,,,,,,,
229,,,,,,r48,,,,,,,,,,,,r48,r48,s132,s133,,,,,,,,,,,,,,,,,,
230,,,,,,r50,,,,,,,,,,,,r50,r50,r50,r50,s135,s136,s137,s138,,,,,,,,,,,,,,
